source,kind,cx,cy,radius,coherence_q,coherence_max_med,m_star,purity,parity_odd,coverage,borgt_slope,borgt_intercept,contrast_f50,contrast_f70,contrast_f90
Generalized angle-OAM Talbot effect\6-to-4\stage3.png,image,586.9542160092601,476.7728252159202,14.715719063545151,1.375,1.6888889074325562,6,0.0032111373730003834,0.3805833627674931,0.25416666666666665,-0.028191652049994666,0.36101577154927167,1.368420958518982,1.3157894611358643,1.3499999046325684
Generalized angle-OAM Talbot effect\6-to-4\stage4.png,image,586.1224437099772,475.36709013289266,13.143812709030101,1.3397436141967773,1.6222221851348877,2,0.0031275555957108736,0.4760310749224518,0.17222222222222222,0.05037631392653087,0.15287318084090334,1.3040540218353271,1.25,1.351351261138916
Generalized angle-OAM Talbot effect\input\Petals in phase\gen_12_inphase.png,image,496.88609051080596,524.6717412764847,35.15050167224081,1.3469388484954834,1.8421052694320679,11,0.001947102602571249,0.550237385189761,0.14166666666666666,-0.13738585350106003,0.7594421526706314,1.4444444179534912,1.3695651292800903,1.3333333730697632
Generalized angle-OAM Talbot effect\input\Petals in phase\gen_12_inphase_300.png,image,498.5200763491237,526.153210133611,36.72240802675586,1.3000001907348633,1.6637167930603027,2,0.001322478987276554,0.5660504666533304,0.1986111111111111,-0.07660874419220053,0.5756600340405922,1.4222222566604614,1.3882980346679688,1.3593751192092896
Generalized angle-OAM Talbot effect\input\Petals in phase\gen_12_inphase_400.png,image,498.72240026884583,526.3445980836536,36.72240802675586,1.3200000524520874,1.6666666269302368,2,0.0014851781306788325,0.5579609787889295,0.18611111111111112,-0.042881695878808,0.491824014853332,1.44767427444458,1.41304349899292,1.4130436182022095
Generalized angle-OAM Talbot effect\input\Petals in phase\gen_3_inphase.png,image,503.317508942014,532.9155926096756,30.434782608695652,1.40816330909729,2.0,12,0.0031833890825510025,0.4777611630691988,0.1,-0.20243482487609732,0.923535784952626,1.4583332538604736,1.340314269065857,1.296875
Generalized angle-OAM Talbot effect\input\Petals in phase\gen_4_inphase.png,image,501.791250010584,532.7788879198665,30.434782608695652,1.3137255907058716,1.6949152946472168,12,0.003193062962964177,0.4903166871857514,0.1763888888888889,-0.21671482773787346,0.9615109349637474,1.4500000476837158,1.3478261232376099,1.2765957117080688
Generalized angle-OAM Talbot effect\input\Petals in phase\gen_4_inphase_150.png,image,501.02395873264555,532.0391339855664,28.862876254180602,1.3600001335144043,1.8035714626312256,11,0.0025864506606012583,0.5343560318043871,0.20833333333333334,-0.14708752338281314,0.749424395950911,1.4473683834075928,1.3191488981246948,1.3333334922790527
Generalized angle-OAM Talbot effect\input\Petals in phase\gen_6_inphase.png,image,499.67667913424214,532.6514987680144,27.29096989966555,1.3538463115692139,1.7894737720489502,2,0.0024365182034671307,0.45089892161768164,0.18194444444444444,-0.0374768014815026,0.42363025843386487,1.3902438879013062,1.3555554151535034,1.3617020845413208
Generalized angle-OAM Talbot effect\input\Petals in phase\gen_6_inphase_400.png,image,500.77463553655593,533.0189546286225,30.434782608695652,1.3400001525878906,1.7017543315887451,12,0.002863912610337138,0.43673776863220876,0.2263888888888889,-0.0531244984841253,0.44748455258773057,1.3333332538604736,1.3777778148651123,1.2857141494750977
"Generalized angle-OAM Talbot effect\input\Petals with talbot(or custom) phase\gen_12_(-1,12)_400.png",image,499.33934899052326,526.7874989699217,27.29096989966555,1.3958333730697632,1.7168141603469849,2,0.008691380731761456,0.48161020044912184,0.20555555555555555,-0.01997577938599731,0.3740978262077054,1.3409090042114258,1.465116262435913,1.3125
"Generalized angle-OAM Talbot effect\input\Petals with talbot(or custom) phase\gen_12_(1,12)_300.png",image,498.6551016436369,525.8696236796943,36.72240802675586,1.3061225414276123,1.625,19,0.001149804680608213,0.520941770369193,0.19305555555555556,-0.03197174255622678,0.4538946307421404,1.4318181276321411,1.4255319833755493,1.4042555093765259
Generalized angle-OAM Talbot effect\input\Petals with talbot(or custom) phase\gen_3_(-4_12)_200.png,image,501.325006212062,534.5771893081537,30.434782608695652,1.3199999332427979,1.754386067390442,15,0.0018482464365661144,0.4747567455631305,0.17916666666666667,0.05131679340399453,0.1474791277681205,1.34883713722229,1.3181818723678589,1.3958333730697632
Generalized angle-OAM Talbot effect\input\Petals with talbot(or custom) phase\gen_4_(-3_12)_200.png,image,501.19366784575743,533.3142233285296,30.434782608695652,1.3199999332427979,1.6140351295471191,12,0.0027053584344685078,0.4753795767751945,0.22916666666666666,-0.00047227941783555726,0.2965116424907181,1.341463327407837,1.3478261232376099,1.3404254913330078
Generalized angle-OAM Talbot effect\input\Petals with talbot(or custom) phase\gen_4_(3_12)_150.png,image,500.4716773384829,532.3927905952502,28.862876254180602,1.3600001335144043,1.8596491813659668,12,0.0027235315646976233,0.4552736184050687,0.15,-0.16133127034684103,0.7824699121977357,1.4210525751113892,1.3478261232376099,1.292307734489441
"Generalized angle-OAM Talbot effect\input\Petals with talbot(or custom) phase\gen_6_(2,12)_200.png",image,501.016869566645,531.1807629477003,28.862876254180602,1.3724490404129028,1.696428656578064,11,0.003203713335096836,0.5685567646141519,0.25,-0.189468503476143,0.876390540570081,1.4679486751556396,1.3177083730697632,1.3191488981246948
Generalized angle-OAM Talbot effect\input\Petals with talbot(or custom) phase\gen_6_custom_400.png,image,501.6501428216059,533.0523336106846,30.434782608695652,1.3399999141693115,1.7368420362472534,12,0.002173837274312973,0.5124818879324681,0.20972222222222223,-0.12330973117059653,0.6683284357081278,1.3902438879013062,1.3478261232376099,1.2916666269302368
Generalized angle-OAM Talbot effect\input\signal (intensity only)\intensity_12_spots.png,image,463.87500228481605,486.0906249428796,374.68227424749165,104.24999237060547,17.0,12,0.3260056674480438,0.05729580960680166,0.275,,,0.0,0.0,199989.796875
Generalized angle-OAM Talbot effect\input\signal (intensity only)\intensity_12_spots_300.png,image,464.9423534752904,487.2093257593374,374.68227424749165,331372.21875,50.999996185302734,12,0.3337027430534363,0.048538759574947916,0.25555555555555554,,,0.0,0.0,199989.796875
Generalized angle-OAM Talbot effect\input\signal (intensity only)\intensity_12_spots_400.png,image,466.13298996951517,487.29566574884456,373.1103678929766,258823.3125,127.49999237060547,12,0.32896605134010315,0.036256926889903146,0.22083333333333333,,,0.0,0.0,333305.0
Generalized angle-OAM Talbot effect\input\signal (intensity only)\intensity_3_spots.png,image,472.8667773616901,489.2468381261923,373.1103678929766,4255.31494140625,999998.9375,3,0.16715121269226074,0.5517608572435777,0.07916666666666666,,,0.0,0.0,0.0
Generalized angle-OAM Talbot effect\input\signal (intensity only)\intensity_4_spots.png,image,471.243914353171,489.01240196477517,380.96989966555185,3921.565185546875,999999.0625,4,0.20948486030101776,0.048185941162700224,0.09722222222222222,,,0.0,0.0,76921.578125
Generalized angle-OAM Talbot effect\input\signal (intensity only)\intensity_4_spots_150.png,image,469.9639853660854,487.72387988787,373.1103678929766,7843.13037109375,999999.0625,4,0.23342925310134888,0.03223765294381226,0.11666666666666667,,,0.0,0.0,0.0
Generalized angle-OAM Talbot effect\input\signal (intensity only)\intensity_6_spots.png,image,466.2526896551724,486.62245517241377,374.68227424749165,58823.47265625,999999.0625,6,0.27233028411865234,0.04588337431687796,0.14166666666666666,,,0.0,0.0,124996.0234375
Generalized angle-OAM Talbot effect\input\signal (intensity only)\intensity_6_spots_400.png,image,470.03786864931845,488.54213135068153,376.2541806020067,7843.13037109375,999999.0625,6,0.22491686046123505,0.05166969649832596,0.10833333333333334,,,0.0,0.0,0.0
OAM sorting\2_3zT\bg.png,image,115.5319587628866,134.48659793814434,116.5551839464883,0.0,999995.0,1,0.09903086721897125,0.5278592352160104,0.05277777777777778,,,0.0,0.0,0.0
OAM sorting\2_3zT\l-12.png,image,88.73096998695085,137.60308829926055,34.468227424749166,599999.0625,999998.5,1,0.33703720569610596,0.7283518841481851,0.29444444444444445,,,0.0,0.0,299999.53125
OAM sorting\2_3zT\l-13.png,image,183.05081928283067,177.26644502493468,37.23076923076923,666665.5625,999998.3125,1,0.3497367799282074,0.7386792391389531,0.30416666666666664,-0.7984702791380157,15.320274221429434,0.0,333331.6875,272726.90625
OAM sorting\2_3zT\l-14.png,image,168.46680355920603,62.12320328542094,30.91638795986622,599999.0625,999998.5,1,0.3429228663444519,0.7892988600428573,0.3277777777777778,1.3071491402120778,8.880241060543398,0.0,399998.78125,555554.625
OAM sorting\2_3zT\l-15.png,image,71.61367400047315,132.87201324816655,17.498327759197323,545453.8125,11.0,1,0.3254307806491852,0.7927948168418583,0.3138888888888889,0.05330079975647616,13.242893978594575,666663.375,571427.375,699998.9375
OAM sorting\2_3zT\l-16.png,image,183.97763733592612,176.96135148274186,37.23076923076923,454544.84375,999998.625,1,0.3394314646720886,0.7208745987313483,0.29444444444444445,,,0.0,0.0,199999.703125
OAM sorting\2_3zT\l-17.png,image,161.52339121552606,76.22308478038815,46.30769230769231,555554.625,999998.3125,1,0.3495257496833801,0.7432640441511772,0.3013888888888889,,,0.0,0.0,249999.53125
OAM sorting\2_3zT\l-18.png,image,81.26136363636364,123.66149475524476,28.153846153846153,499999.25,999998.5,1,0.33036771416664124,0.7427862764423719,0.3125,3.902800674478962,0.38946452801133735,0.0,166666.25,444443.71875
OAM sorting\2_3zT\l-19.png,image,178.2424075855435,154.98639549264806,57.752508361204015,285714.0,999998.9375,1,0.3215431571006775,0.6808565478459322,0.22777777777777777,,,0.0,0.0,99999.8515625
OAM sorting\3_4zT\background.png,image,154.82564102564103,151.06837606837607,34.468227424749166,0.0,999998.3125,1,0.01104867272078991,0.5027933053754916,0.005555555555555556,,,0.0,0.0,0.0
OAM sorting\3_4zT\l14.png,image,67.0143509458578,120.10045662100457,10.0,714284.1875,7.0,1,0.30166956782341003,0.9113762495865098,0.4166666666666667,21.711853211073517,-32.325286406331436,3.0,714284.1875,624998.8125
OAM sorting\3_4zT\l15.png,image,146.24689111313316,64.94358507734304,30.127090301003346,4.0,6.0,1,0.21108293533325195,0.7811183587286556,0.32222222222222224,1.7664445528318338,-4.969101257090912,1.0,1.0,3.0
OAM sorting\3_4zT\l16.png,image,187.8679171551387,128.51856193825714,60.90969899665552,374999.28125,999998.125,1,0.3433506488800049,0.7261997799821124,0.2625,,,0.0,0.0,249999.234375
OAM sorting\3_4zT\l17.png,image,140.20355292376018,202.08438193930422,26.96989966555184,666665.0,999997.5,1,0.3534131944179535,0.7415113475336588,0.325,-1.6133578595414337,17.86247624625927,0.0,499996.25,333332.5
OAM sorting\3_4zT\l18.png,image,106.06734816596513,132.13138905592302,53.01672240802676,374999.28125,999998.125,1,0.31511253118515015,0.6882565455279165,0.25972222222222224,,,0.0,0.0,124999.765625
OAM sorting\3_4zT\l19.png,image,150.53995323889424,107.89698803465824,72.74916387959865,428570.5,999997.875,1,0.34851139783859253,0.7123272394358884,0.2763888888888889,,,0.0,0.0,249999.046875
OAM sorting\3_4zT\l20.png,image,211.9376915219612,128.3653387810691,36.046822742474916,374999.28125,8.0,1,0.282939612865448,0.711434559619535,0.23333333333333334,2.758087489450383,2.9660953381812236,0.0,142856.84375,285713.6875
OAM sorting\3_4zT\l21.png,image,141.37952270977675,206.49422632794457,23.023411371237458,666665.0,6.0,1,0.30825522541999817,0.745542287348115,0.3,-1.5416082186329665,17.40852551262633,999985.0625,333331.6875,428570.5
OAM sorting\7_12zT\bg.png,image,91.86005089058524,142.1730279898219,92.876254180602,0.0,999995.0,1,0.11335907131433487,0.5325443905490014,0.06111111111111111,,,0.0,0.0,0.0
OAM sorting\7_12zT\l-10.png,image,129.61172549613696,152.18209362217846,59.331103678929765,76922.9921875,999998.8125,1,0.2846483886241913,0.6233747299908231,0.16111111111111112,,,0.0,0.0,0.0
OAM sorting\7_12zT\l-11.png,image,178.90563267485317,106.96235985050721,66.43478260869566,90908.96875,999998.625,1,0.26414400339126587,0.6325161624723351,0.11805555555555555,,,0.0,0.0,166666.25
OAM sorting\7_12zT\l-12.png,image,108.32064631956912,135.99694793536804,52.62207357859532,90908.96875,999998.625,1,0.20836006104946136,0.5895196423658735,0.09583333333333334,,,0.0,0.0,124999.765625
OAM sorting\7_12zT\l-13.png,image,172.5796168811733,137.51676144866806,77.09030100334448,66666.6015625,999999.0625,1,0.2341713160276413,0.5996327484090155,0.10972222222222222,,,0.0,0.0,49999.84765625
OAM sorting\7_12zT\l-14.png,image,156.50066874721355,95.18279090503789,63.27759197324415,71428.5,999998.9375,1,0.24233153462409973,0.5857436544396252,0.12638888888888888,,,0.0,0.0,0.0
OAM sorting\7_12zT\l-15.png,image,116.1313524590164,162.0485655737705,51.438127090301,0.0,999999.0625,1,0.18455223739147186,0.5655878557123946,0.08888888888888889,,,0.0,0.0,99999.8515625
OAM sorting\7_12zT\l-16.png,image,187.60222508868108,98.37842631409222,50.25418060200669,66666.6015625,999999.0625,1,0.24127106368541718,0.6154101324817235,0.14583333333333334,,,0.0,0.0,111110.9296875
OAM sorting\7_12zT\l-17.png,image,122.56356509884117,138.01823449216087,59.331103678929765,71428.5,999998.9375,1,0.26350247859954834,0.6025328399462992,0.14027777777777778,,,0.0,0.0,0.0
OAM sorting\7_12zT\l-18.png,image,178.77873498072998,129.93108138744049,72.74916387959865,66666.6015625,999999.0625,1,0.25246959924697876,0.5979236195405573,0.11666666666666667,,,0.0,0.0,0.0
OAM sorting\7_12zT\l-19.png,image,126.09224790345674,93.98793209245244,51.438127090301,83333.234375,999998.75,1,0.2987387180328369,0.6286149275956593,0.18472222222222223,,,0.0,0.0,0.0
OAM sorting\7_12zT\l-20.png,image,154.91037735849056,144.6593291404612,78.66889632107024,90908.96875,999998.625,1,0.2818107306957245,0.622924584172436,0.14027777777777778,,,0.0,0.0,0.0
OAM sorting\7_12zT\l-21.png,image,181.67784275503573,96.2654970760234,57.752508361204015,99999.8515625,999998.5,1,0.2622886300086975,0.63040964343849,0.10416666666666667,,,0.0,0.0,166666.25
OAM sorting\7_12zT\Superpos\l-14_-15_-16_1_1.414_1.732.png,image,160.98424719781883,110.6337473492881,78.2742474916388,71428.5,999998.9375,1,0.22841528058052063,0.6327107445464931,0.0875,,,0.0,0.0,249999.046875
OAM sorting\7_9zT\bg.png,image,140.6050552922591,131.9921011058452,36.441471571906355,0.0,999985.0625,1,0.0803583636879921,0.5224719201297426,0.043055555555555555,,,0.0,0.0,0.0
OAM sorting\7_9zT\l-13.png,image,157.82720588235293,132.27066430020284,70.38127090301003,181817.9375,999998.625,1,0.31861400604248047,0.6508602130569878,0.20694444444444443,,,0.0,0.0,0.0
OAM sorting\7_9zT\l-14.png,image,204.70278637770897,123.66133470932233,51.438127090301,166666.46875,999998.75,1,0.320610910654068,0.655347729782717,0.21666666666666667,,,0.0,0.0,111110.9296875
OAM sorting\7_9zT\l-15.png,image,181.5556675788564,90.3491286187527,70.38127090301003,104166.5390625,999998.75,1,0.3048449456691742,0.6369003618725666,0.17222222222222222,,,0.0,0.0,0.0
OAM sorting\7_9zT\l-16.png,image,136.7245524296675,96.16125319693094,71.56521739130434,66666.6015625,999999.0625,1,0.2216043621301651,0.5891247678691294,0.10833333333333334,,,0.0,0.0,124999.765625
OAM sorting\7_9zT\l-17.png,image,70.97969991173875,135.18446601941747,10.0,4.0,3.499999761581421,2,0.11584736406803131,0.39574404422263915,0.2763888888888889,0.7181057425777978,-0.4135278962134791,2.0,3.0,3.0
OAM sorting\7_9zT\l-18.png,image,175.49100860046912,127.19265050820954,73.53846153846155,76922.9921875,999998.8125,1,0.2738834619522095,0.6161671088290749,0.1625,,,0.0,0.0,0.0
OAM sorting\7_9zT\l-19.png,image,197.1359939947454,112.18929062930064,62.88294314381271,66666.6015625,999999.0625,1,0.2872915267944336,0.626130079753943,0.15416666666666667,,,0.0,0.0,124999.765625
OAM sorting\7_9zT\l-20.png,image,151.9106894956039,47.0259139287367,39.993311036789294,222221.859375,999998.3125,1,0.2950672507286072,0.6904915898018872,0.20416666666666666,-1.1446975484423623,16.531068228488504,0.0,333331.6875,249999.53125
OAM sorting\7_9zT\l-21.png,image,128.6073810582481,101.79961464354528,60.51505016722408,99999.8515625,999998.5,1,0.3017444610595703,0.6359418916331098,0.17916666666666667,,,0.0,0.0,0.0
OAM sorting\7_9zT\Superpos\l-15_-16_-17_1_1.414_1.732.png,image,113.23064013426037,86.27643251018941,49.070234113712374,142856.84375,999997.875,1,0.16628798842430115,0.6504720672359932,0.1361111111111111,,,0.0,0.0,199999.390625
OAM sorting\7_9zT\Superpos\l-15_-16_-17_even.png,image,130.10723668497732,77.26916646763793,52.62207357859532,142856.84375,999997.875,1,0.2911401689052582,0.6387128516389587,0.15416666666666667,,,0.0,0.0,199999.390625
